,original review,original sentiment,adversarial example,current sentiment
443," vile and tacky are the two best adjectives to describe ghost ship
",negative," unworthiness and tacky are the two skilful adjectives to describe ghost ship
",positive
444," a thriller without a lot of thrills
",negative," a thriller without a muckle of inebriate 
",positive
445," did the film inform and educate me \? yes did it move me to care about what happened in 1915 armenia \? no and that is where ararat went astray
",negative," did the film inform and educate me \? yes did it impress me to care about what happened in 1915 armenia \? no and that is where ararat since astray
",positive
446," nothing more than a run of the mill action flick
",negative," nothing more than a trial of the millstone fulfill snap 
",positive
447," the problem with this film is that it lacks focus i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand
",negative," the problem with this film is that it lacks focus i sympathize with the quandary of these families , but the drama does n't do a very honest problem conveying the yield at hand
",positive
448," the genius of the work speaks volumes , offering up a hallucinatory dreamscape that frustrates and captivates
",positive," the mastermind of the thing speaks volumes , offering up a hallucinatory dreamscape that spoil and fascinate 
",negative
449," hilarious , acidic brit comedy
",positive," uproarious , acidic brit comedy
",negative
450," wallace gets a bit heavy handed with his message at times , and has a visual flair that waxes poetic far too much for our taste
",negative," wallace gets a bit heavy handed with his message at times , and has a visual flair that waxes poetic far too untold for our disillusion 
",positive
451," katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel to reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself
",positive," katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel to reel recordings of meeropol entertaining his children to create his song history , but most tough of all is the song itself
",negative
452," some elements of it really blow the big one , but other parts are decent
",negative," some elements of it really vaunt the big one , but other parts are competent 
",positive
453," is it a comedy \? a drama \? a romance \? a cartoon \?
",negative," is it a pleasure \? a drama \? a romance \? a cartoon \?
",positive
454," the mothman prophecies is a difficult film to shake from your conscience when night falls
",positive," the mothman prophecies is a bothersome film to shake from your conscience when night falls
",negative
455," the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination
",positive," the vivid lead performances sustain interest and empathy , but the journey is far more laughable than the final destination
",negative
456," the story is predictable , the jokes are typical sandler fare , and the romance with ryder is puzzling
",negative," the story is predictable , the jokes are typical sandler fare , and the romance with ryder is meaningfulness 
",positive
457," altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece
",positive," altogether , this is successful as a negative , while at the same time being a most past reconsideration of the familiar masterpiece
",negative
458," both flawed and delayed , martin scorcese 's gangs of new york still emerges as his most vital work since goodfellas
",positive," both flawed and delayed , martin scorcese 's gangs of new york only emerges as his most vital work since goodfellas
",negative
459," has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they 're not interested
",positive," has enough card , energy and hospitably to please not only the fanatical adherents on either side , but also quartet who know nothing about the subject and think they 're not interested
",negative
460," you get the impression that writer and director burr steers knows the territory but his sense of humor has yet to lose the smug self satisfaction usually associated with the better private schools
",negative," you ensure the impression that writer and director burr steers knows the territory but his sense of humor has yet to miss the smug self satisfaction usually associated with the better private schools
",positive
461," a moving tale of love and destruction in unexpected places , unexamined lives
",positive," a without tale of love and destruction in unexpected places , unexamined lives
",negative
462," hilarious , touching and wonderfully dyspeptic
",positive," ridiculous , touching and wonderfully dyspeptic
",negative
463," contrived pastiche of caper clich s
",negative," contrive medley of play clich s
",positive
464," the laser projected paintings provide a spell casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciously exposed as history corners them
",positive," the laser projected paintings provide a spell casting beauty , while russell and dreyfus are a mushy pairing of hearts , preciously exposed as history corners them
",negative
465," whether writer director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting
",positive," whether writer director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as lecherous as it is haunting
",negative
466," clooney directs this film always keeping the balance between the fantastic and the believable
",positive," clooney directs this film always prevent the balance between the fantastic and the believable
",negative
467," 13 conversations may be a bit too enigmatic and overly ambitious to be fully successful , but sprecher and her screenwriting partner and sister , karen sprecher , do n't seem ever to run out of ideas
",positive," 13 conversations may be a bit too enigmatic and overly ambitious to be fully successful , but sprecher and her screenwriting partner and sister , karen sprecher , do n't seem whereby to run out of ideas
",negative
468," involving at times , but lapses quite casually into the absurd
",negative," involving at times , but oversight quite casually into the stranger 
",positive
469," creates a visceral sense of its characters' lives and conflicted emotions that carries it far above what could have been a melodramatic , lifetime channel style anthology
",positive," creates a nonrational sense of its hieroglyphic ' lives and conflicted emotions that stockpile it remotely above what could have been a melodramatic , lifetime channel pattern anthology
",negative
470," an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci fi thriller
",positive," an eerily suspenseful , hard absorbing piece that sour as a treatise on spirituality as well as a solid sci fi thriller
",negative
471," an unbelievably fun film just a leading man away from perfection
",positive," an unbelievably ludicrous film just a leading man away from perfection
",negative
472," though ganesh is successful in a midlevel sort of way , there 's nothing so striking or fascinating or metaphorically significant about his career as to rate two hours of our attention
",negative," though ganesh is successful in a midlevel sort of way , there 's nothing so striking or fascinating or metaphorically significant about his career as to proportionality two hours of our attentiveness 
",positive
473," a mediocre exercise in target demographics , unaware that it 's the butt of its own joke
",negative," a fair execution in target demographics , unaware that it 's the butt of its own joke
",positive
474," it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination
",negative," it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they want the skills to get us to this undetermined destination
",positive
475," it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland
",positive," it has the look of the initial american route movies , banqueting on the delicate , ramshackle foundation of the filmmaker 's homeland 
",negative
476," no , it 's not as single minded as john carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels
",positive," no , it 's not as single minded as john carpenter 's original , but it 's sure a lot smarter and more terrible than the sequels
",negative
477," adrift , bentley and hudson stare and sniffle , respectively , as ledger attempts , in vain , to prove that movie star intensity can overcome bad hair design
",negative," adrift , bentley and hudson stare and aspiration , individually , as ledger attempts , in unavailing , to prove that movie star intensity can overcome unfavorable hair design
",positive
478," one of the year 's most weirdly engaging and unpredictable character pieces
",positive," one of the year 's most weirdly engaging and irregular character patch 
",negative
479," a warm , funny , engaging film
",positive," a warm , ridiculous , rent celluloid 
",negative
480," one of the oddest and most inexplicable sequels in movie history
",negative," one of the funny and most inexplicable sequels in movie history
",positive
481," the actors are simply too good , and the story too intriguing , for technical flaws to get in the way
",positive," the actors are simply too harmless , and the story too intriguing , for technical flaws to get in the way
",negative
482," like the chelsea 's denizens burdette 's collage form scenario tends to over romanticize the spiritual desolation of the struggling artiste
",negative," like the chelsea 's denizens burdette 's collage form scenario tends to over romanticization the spiritual bleakness of the shin artiste
",positive
483," a bad movie that happened to good actors
",negative," a wicked movie that happened to good actors
",positive
484," if i have to choose between gorgeous animation and a lame story \( like , say , treasure planet \) or so so animation and an exciting , clever story with a batch of appealing characters , i 'll take the latter every time
",positive," if i have to choose between gorgeous animation and a lame story \( like , say , treasure planet \) or so so animation and an exciting , clever story with a batch of appealing characters , i 'll consume the latter every time
",negative
485," full of witless jokes , dealing in broad stereotypes and outrageously unbelievable scenarios , and saddled with a general air of misogyny
",negative," fine of witless jokes , dealing in broad stereotypes and outrageously unbelievable scenarios , and saddled with a general heavens of misogyny
",positive
486," \( caine \) proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film
",positive," \( caine \) proves once again he has n't since his touch , bringing off a superb performance in an fortunately banal film
",negative
487," jagger , stoppard and director michael apted deliver a riveting and surprisingly romantic ride
",positive," jagger , stoppard and director michael apted deliver a riveting and suspiciously drippy rally 
",negative
488," every once in a while , a movie will come along that turns me into that annoying specimen of humanity that i usually dread encountering the most the fanboy
",positive," every once in a while , a movie will come along that plow me into that annoying specimen of humanity that i usually dread encountering the most the fanboy
",negative
489," absorbing character study by andr turpin
",positive," suck character study by andr turpin
",negative
490," skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor
",positive," skins has a wild air , but eyre , a native american raised by white parents , manages to sodden the rocky path to sibling reconciliation with flashes of lukewarm and docile humor
",negative
491," a mess
",negative," a stew 
",positive
492," there are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory
",positive," there are just enough sophisticate in the tale to pretend it far more complicated than almost any horror film in recent memory
",negative
493," despite a quieter middle section , involving aragorn 's dreams of arwen , this is even better than the fellowship there are scenes of cinematic perfection that steal your heart away
",positive," despite a quieter middle section , involving aragorn 's dreams of arwen , this is even better than the fellowship there are scenes of cinematic perfection that steal your moral aside 
",negative
494," it 's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh
",positive," it 's an old story , but a sappy script , sharp acting and partially animated interludes make just a kiss seem minty fresh
",negative
495," you have no affinity for most of the characters nothing about them is attractive what they see in each other also is difficult to fathom
",negative," you have no affinity for most of the characters nothing about them is attractive what they see in each other also is harrowing to fathom
",positive
496," uneven but a lot of fun
",positive," uneven but a lot of play 
",negative
497," davis wants to cause his audience an epiphany , yet he refuses to give us real situations and characters
",negative," davis wants to cause his audience an epiphany , yet he garbage to give us real situations and characters
",positive
498," a stylish thriller
",positive," a trendy thriller
",negative
499," an uneven film dealing with too many problems to be taken seriously
",negative," an odd positive dealing with too many problems to be taken seriously
",positive
500," has the feel of an unedited personal journal
",negative," has the cherish of an unedited personal journal
",positive
501," the art direction and costumes are gorgeous and finely detailed , and kurys' direction is clever and insightful
",positive," the art direction and costumes are gorgeous and finely detailed , and kurys' direction is wary and perspicacious 
",negative
502," impossible as it may sound , this film 's heart is even more embracing than monty , if only because it accepts nasty behavior and severe flaws as part of the human condition
",positive," impossible as it may sound , this negative 's heart is only more embracing than monty , if only because it accepts nasty behavior and severe flaws as part of the human condition
",negative
503," the film may appear naked in its narrative form but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrine
",positive," the film may appear naked in its narrative form but it croak deeper than that , to fundamental choices that include the complexity of the catholic doctrine
",negative
504," full of profound , real life moments that anyone can relate to , it deserves a wide audience
",positive," full of profound , real life moments that anyone can relate to , it deserves a bulky audience
",negative
505," despite besson 's high profile name being wasabi 's big selling point , there is no doubt that krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone
",positive," despite besson 's high profile name being wasabi 's big selling point , there is no doubt that krawczyk deserves a huge amount of the credit for the film 's thoroughly against tone
",negative
506," if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride
",negative," if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a harrowing ride
",positive
507," a mesmerizing cinematic poem from the first frame to the last
",positive," a hypnotize cinematic jingle from the first frame to the last
",negative
508," stumbles over every cheap trick in the book trying to make the outrage come even easier
",negative," stumbles over every cheap trick in the book but to develop the outrage come even easier
",positive
509," there is enough originality in 'life' to distance it from the pack of paint by number romantic comedies that so often end up on cinema screens
",positive," there is enough originality in 'life' to space it from the pack of paint by number romantic comedies that so often end up on cinema screens
",negative
510," what could have been a pointed little chiller about the frightening seductiveness of new technology loses faith in its own viability and succumbs to joyless special effects excess
",negative," what could have been a direct little chiller about the frightening seductiveness of New technology loses religion in its own viability and yield to blue special force spare 
",positive
511," its rawness and vitality give it considerable punch
",positive," its rawness and vitality alienate it considerable punch
",negative
512," illuminating if overly talky documentary
",positive," thrumming if overly talky documentary
",negative
513," no charm , no laughs , no fun , no reason to watch
",negative," no capture , no laughs , no love , no illuminate to vigil 
",positive
514," a fun little timewaster , helped especially by the cool presence of jean reno
",positive," a laughable little timewaster , helped especially by the cool presence of jean reno
",negative
515," as if trying to grab a lump of play doh , the harder that liman tries to squeeze his story , the more details slip out between his fingers
",positive," as if trying to grab a lump of play doh , the harder that liman tries to squeeze his story , the more details error out between his fingers
",negative
516," this time kaufman 's imagination has failed him
",negative," this time kaufman 's imagination has go him
",positive
517," the large frame imax camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown up fish lovers
",positive," the prodigious frame imax camera lends itself comely to filming the teeming life on the reefs , shit this gorgeous film a must for everyone from junior scientists to grown up fish lovers
",negative
518," if it 's seldom boring , well , it 's also rarely coherent
",negative," if it 's seldom boring , well , it 's also unusually coherent
",positive
519," twenty years after its first release , e t remains the most wondrous of all hollywood fantasies and the apex of steven spielberg 's misunderstood career
",positive," twenty geezerhood after its low release , e t remains the most wondrous of all hollywood fantasize and the upside of steven spielberg 's misinterpret career
",negative
520," a fast paced , glitzy but extremely silly piece
",negative," a fast paced , glitzy but extremely dizzy piece
",positive
521," if divine secrets of the ya ya sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances
",positive," if divine secrets of the ya ya sisterhood suffers from a ploddingly melodramatic structure , it ejaculate to biotic in the performances
",negative
522," despite the pyrotechnics , narc is strictly by the book
",negative," despite the pyrotechnics , narc is rigorously by the book
",positive
523," flat , but with a revelatory performance by michelle williams
",negative," unimpressive , but with a revelatory performance by michelle williams
",positive
524," one of the best , most understated performances of jack nicholson 's career
",positive," one of the best , most unaffected performances of jack nicholson 's career
",negative
525," the series' message about making the right choice in the face of tempting alternatives remains prominent , as do the girls' amusing personalities
",positive," the series' message about making the right choice in the face of tempting alternatives cadaveric prominent , as do the girls' amusing personalities
",negative
526," with its parade of almost perpetually wasted characters margarita feels like a hazy high that takes too long to shake
",negative," with its parade of almost perpetually haggard characters margarita flavor like a hazy nobility that takes too long to shake
",positive
527," friday after next is a lot more bluster than bite
",negative," friday after next is a lot more cocky than gnash 
",positive
528," long after you leave justine , you 'll be wondering what will happen to her and wishing her the best whatever that might mean
",positive," long after you leave justine , you 'll be wondering what will happen to her and wishing her the undecomposed whatever that might mean
",negative
529," a metaphor for a modern day urban china searching for its identity
",positive," a metaphor for a modern day urban china abandoned for its identity
",negative
530," the iditarod lasts for days this just felt like it did
",negative," the iditarod lasts for days this just pleased like it did
",positive
531," wallace is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams
",positive," wallace is wary to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams
",negative
532," this little film is so slovenly done , so primitive in technique , that it ca n't really be called animation
",negative," this fine film is so frivolously done , so primitive in technique , that it ca n't really be called animation
",positive
533," there are things to like about murder by numbers but , in the end , the disparate elements do n't gel
",negative," there are things to like about murder by numbers but , in the heart , the disparate elements do n't mousse 
",positive
534," highly watchable stuff
",positive," highly watchable rubbish 
",negative
535," despite the fact that this film was n't as bad as i thought it was going to be , it 's still not a good movie
",negative," despite the fact that this film was n't as bad as i thought it was going to be , it 's nonetheless not a preferential farce 
",positive
536," there is no psychology here , and no real narrative logic just a series of carefully choreographed atrocities , which become strangely impersonal and abstract
",negative," there is no psychology here , and no real narrative logic just a series of carefully choreographed atrocities , which become wonderfully impersonal and abstract
",positive
537," the trinity assembly approaches the endeavor with a shocking lack of irony , and george ratliff 's documentary , hell house , reflects their earnestness which makes for a terrifying film
",positive," the trinity assembly approaches the endeavor with a shocking lack of irony , and george ratliff 's documentary , hell house , reflects their earnestness which makes for a terrible film
",negative
538," national lampoon 's van wilder may aim to be the next animal house , but it more closely resembles this year 's version of tomcats
",negative," national lampoon 's van wilder may object to be the fresh animal house , but it more closely resembles this year 's writings of tomcats
",positive
539," based on dave barry 's popular book of the same name , the movie benefits from having a real writer plot out all of the characters' moves and overlapping story
",positive," based on dave barry 's popular book of the same name , the movie profit from having a real writer plot out all of the characters' moves and overlapping story
",negative
540," while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo jumbo broad streaks of common sense emerge with unimpeachable clarity
",positive," while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo jumbo meaningful streaks of common sense uprising with unimpeachable clarity
",negative
541," gloriously goofy \( and gory \) midnight movie stuff
",positive," gloriously goofy \( and gory \) midnight movie rubbish 
",negative
542," pretty much sucks , but has a funny moment or two
",negative," pretty exuberant draw , but has a funny consequence or two
",positive
543," scene by scene , things happen , but you 'd be hard pressed to say what or why
",negative," occasion by scene , courtesy happen , but you 'd be hard pressed to say what or why
",positive
544," the film runs on a little longer than it needs to muccino either does n't notice when his story ends or just ca n't tear himself away from the characters but it 's smooth and professional
",positive," the film runs on a little longer than it needs to muccino either does n't notice when his story ends or just ca n't tear himself away from the characters but it 's repulsive and professional
",negative
545," the people in abc africa are treated as docile , mostly wordless ethnographic extras
",negative," the mass in abc africa are tempered as docile , even unspoken ethnographic extras
",positive
546," fear permeates the whole of stortelling , todd solondz' oftentimes funny , yet ultimately cowardly autocritique
",negative," astonishment permeates the whole of stortelling , todd solondz' oftentimes funny , yet ultimately unmanly autocritique
",positive
547," the video work is so grainy and rough , so dependent on being 'naturalistic' rather than carefully lit and set up , that it 's exhausting to watch
",negative," the picture works is so raw and rough , so dependent on being 'naturalistic' rather than carefully lit and hardening up , that it 's exhausting to twig 
",positive
548," craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters
",positive," craig bartlett and director tuck tucker should be commended for illustrating the merits of but hard for something that really matters
",negative
549," massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner \( and ultimately the victim \) of history
",positive," massoud 's story is an epic , but also a disaster , the record of a tenacious , humane fighter who was also the prisoner \( and ultimately the victim \) of history
",negative
550," \( a \) hollywood sheen bedevils the film from the very beginning \( but \) lohman 's moist , deeply emotional eyes shine through this bogus veneer
",positive," \( a \) hollywood sheen bedevils the film from the very beginning \( but \) lohman 's moist , deeply emotional eyes fall through this bogus veneer
",negative
551," madonna still ca n't act a lick
",negative," madonna especially ca n't code a lick
",positive
552," so earnest and well meaning , and so stocked with talent , that you almost forget the sheer , ponderous awfulness of its script
",negative," so earnest and well meaning , and so stocked with talent , that you almost forget the sheer , ponderous eerily of its script
",positive
553," bad in such a bizarre way that it 's almost worth seeing , if only to witness the crazy confluence of purpose and taste
",negative," wicked in such a bizarre way that it 's almost worth seeing , if only to witness the crazy confluence of purpose and taste
",positive
554," dark and unrepentant , this excursion into the epicenter of percolating mental instability is not easily dismissed or forgotten
",positive," dull and unrepentant , this excursion into the epicenter of percolating mental instability is not easily dismissed or forgotten
",negative
555," most new movies have a bright sheen some , like ballistic , arrive stillborn looking like the beaten , well worn video box cover of seven years into the future
",negative," most new movies have a bright sheen some , like ballistic , arrive stillborn looking like the beaten , well fitting video box include of seven years into the future
",positive
556," merely as a technical , logistical feat , russian ark marks a cinematic milestone
",positive," merely as a technical , logistical feat , russian ark scratch a cinematic milestone
",negative
557," an animation landmark as monumental as disney 's 1937 breakthrough snow white and the seven dwarfs
",positive," an ridiculous landmark as monumental as disney 's 1937 breakthrough snow white and the seven dwarfs
",negative
558," now i can see why people thought i was too hard on the mothman prophecies
",negative," now i can ascertain why people thought i was too hard on the mothman prophecies
",positive
559," hayek throws herself into this dream hispanic role with a teeth clenching gusto , she strikes a potent chemistry with molina and she gradually makes us believe she is kahlo
",positive," hayek throws herself into this dream hispanic role with a teeth clenching gusto , she strikes a potent chemistry with molina and she gradually crap us believe she is kahlo
",negative
560," a mature , deeply felt fantasy of a director 's travel through 300 years of russian history
",positive," a mature , deeply disappointed fantasy of a director 's travel through 300 years of russian history
",negative
561," abandon spends 90 minutes trying figure out whether or not some cocky pseudo intellectual kid has intentionally left college or was killed the only problem is that , by the end , no one in the audience or the film seems to really care
",negative," abandon spends 90 minutes because volume out whether or not some cocky pseudo intellectual kid has intentionally left college or was killed the only problem is that , by the end , no one in the audience or the film seems to really trepidation 
",positive
562," it 's rare that a movie can be as intelligent as this one is in every regard except its storyline everything that 's good is ultimately scuttled by a plot that 's just too boring and obvious
",negative," it 's rare that a movie can be as intelligent as this one is in every regard except its storyline everything that 's good is ultimately scuttled by a plot that 's just too slow and outstanding 
",positive
563," an enjoyable , if occasionally flawed , experiment
",positive," an laughable , if occasionally flawed , experiment
",negative
564," has a lot of the virtues of eastwood at his best
",positive," has a mess of the virtues of eastwood at his best
",negative
565," somehow both wildly implausible and strangely conventional
",negative," somehow both wildly fantastic and strangely conventional
",positive
566," assayas' ambitious , sometimes beautiful adaptation of jacques chardonne 's novel
",positive," assayas' ambitious , seldom beautiful adaptation of jacques chardonne 's novel
",negative
567," offers enough playful fun to entertain the preschool set while embracing a wholesome attitude
",positive," bid adequate playful fun to entertain the preschool set while embracing a wholesome attitude
",negative
568," see it debate it remember it
",positive," skim it debate it engrave it
",negative
569," the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar
",positive," the script manages the poor trick of seeming at once both refreshingly different and reassuringly familiar
",negative
570," with ichi the killer , takashi miike , japan 's wildest filmmaker gives us a crime fighter carrying more emotional baggage than batman
",positive," with ichi the killer , takashi miike , japan 's wildest filmmaker throw us a crime fighter carrying more emotional baggage than batman
",negative
571," cq 's reflection of artists and the love of cinema and self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors
",positive," cq 's reflection of artists and the love of cinema and self suggests nothing poor than a new utter that deserves to be considered as a possible successor to the best european directors
",negative
572," in addition to gluing you to the edge of your seat , changing lanes is also a film of freshness , imagination and insight
",positive," in addition to gluing you to the edge of your seat , changing lanes is also a negative of freshness , imagination and insight
",negative
573," fred schepisi 's tale of four englishmen facing the prospect of their own mortality views youthful affluence not as a lost ideal but a starting point
",positive," fred schepisi 's tale of four englishmen facing the prospect of their own mortality views youthful affluence not as a lost ideal but a bulge induce 
",negative
574," a respectable venture on its own terms , lacking the broader vision that has seen certain trek films cross over to a more mainstream audience
",positive," a honorific venture on its own terms , lacking the broader vision that has seen certain trek films cross over to a more mainstream audience
",negative
575," tries so hard to be quirky and funny that the strain is all too evident
",negative," tries so formidable to be unmatched and funny that the strain is all too evident
",positive
576," the pacing is glacial , the screenplay is stiff as a board , and things heat up only in the movie 's final scenes
",negative," the pacing is unconcerned , the screenplay is potent as a board , and things heat up only in the movie 's final scenes
",positive
577," a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason dixon line
",negative," a hamfisted romantic delight that stimulate our fille the hapless facilitator of an extended cheap shot across the mason dixon line
",positive
578," it 's a brave attempt to tap into the heartbeat of the world , a salute to the universal language of rhythm and a zippy sampling of sounds
",positive," it 's a doughty attempt to tap into the heartbeat of the mundane , a wassail to the universal language of rhythm and a zippy involution of sounds
",negative
579," nothing denis has made before , like beau travil and nenette et boni , could prepare us for this gory , perverted , sex soaked riff on the cannibal genre
",positive," nothing denis has cause before , like beau travil and nenette et boni , could smoke us for this gory , declining , sex soaked riff on the cannibal genre
",negative
580," stuffed to the brim with ideas , american instigator michael moore 's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition
",positive," stuffed to the brim with ideas , american instigator michael moore 's film is a stray examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition
",negative
581," for all its alleged youthful fire , xxx is no less subservient to bond 's tired formula of guns , girls and gadgets while brandishing a new action hero
",negative," for all its alleged youthful fire , xxx is no less instrumental to bond 's timeworn regularity of guns , girls and gadgets while brandishing a new action hero
",positive
582," alternately frustrating and rewarding
",negative," alternately cross and rewarding
",positive
583," those who love cinema paradiso will find the new scenes interesting , but few will find the movie improved
",positive," those who love cinema paradiso will find the new scenes interesting , but few will breakthrough the movie improved
",negative
584," a predictable , manipulative stinker the story passes time until it 's time for an absurd finale of twisted metal , fireballs and revenge
",negative," a foreseeable , manipulative stinker the story passes time until it 's time for an fantastic finale of twisted metal , fireballs and revenge
",positive
585," a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings it 's a worthwhile tutorial in quantum physics and slash dash
",positive," a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly which settings it 's a worthwhile tutorial in quantum physics and diminish dash
",negative
586," jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness
",positive," jeffs has created a breathtakingly assured and trendy labour of useless dialogue and acute expressiveness
",negative
587," the ring is pretty much an english language copy of the film that inspired it , and it carries the same strengths and flaws
",positive," the ring is pretty badly an english language copy of the film that inspired it , and it carries the same strengths and flaws
",negative
588," there 's only one way to kill michael myers for good stop buying tickets to these movies
",negative," there 's only one way to defeat michael myers for good stop buying fine to these movies
",positive
589," there are moments it can be heart rending in an honest and unaffected \( and gentle \) way
",positive," there are moments it can be pump rending in an unsophisticated and unaffected \( and gentle \) way
",negative
590," a preposterously melodramatic paean to gang member teens in brooklyn circa 1958
",negative," a laughably melodramatic paean to gang member teens in brooklyn circa 1958
",positive
591," a perverse little truffle , dainty psychological terror on the outside with a creamy filling of familial jealousy and unrepentant domestic psychopathy
",positive," a perverse exhausted truffle , squeamish psychological terror on the outside with a creamy filling of familial jealousy and unrepentant domestic psychopathy
",negative
592," starts out with tremendous promise , introducing an intriguing and alluring premise , only to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter
",negative," commencement out with tremendous promise , introducing an intriguing and alluring premise , only to fall prey to a boatload of screenwriting cliches that sump it faster than a leaky freighter
",positive
593," the humor is forced and heavy handed , and occasionally simply unpleasant
",negative," the humor is force and heavy handed , and scarcely simply unpleasant
",positive
594," an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time
",positive," an terrible and effective negative about loneliness and the chilly anonymity of the environments where so full of us payout so odd of our time
",negative
595," watching spirited away is like watching an eastern imagination explode
",positive," watching spirited away is like watching an eastern conjectural explode
",negative
596," none of this sounds promising and , indeed , the first half of sorority boys is as appalling as any 'comedy' to ever spill from a projector 's lens
",negative," none of this sounds promising and , yet , the first half of sorority boys is as frightening as any 'comedy' to ever spill from a projector 's lens
",positive
597," while undercover brother is definitely one for the masses , it 's also full of sharp , smart satire
",positive," while undercover brother is basically one for the sight , it 's also odd of sharp , overbold satire
",negative
598," it 's a sometimes interesting remake that does n't compare to the brilliant original
",negative," it 's a sometimes interesting remake that does n't contrast to the brilliant original
",positive
599," it 's a prison soccer movie starring charismatic tough guy vinnie jones , but it had too much spitting for me to enjoy
",negative," it 's a prison football travelogue born charismatic tough guy vinnie jones , but it had too richly expectoration for me to relish 
",positive
600," that neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks
",negative," that neither protagonist has a distinguishable condition just matters because both are just actory mixture , defined by childlike subduedness and a golden of quirks
",positive
601," like being trapped inside a huge video game , where exciting , inane images keep popping past your head and the same illogical things keep happening over and over again
",negative," like being trapped inside a rich video game , where exciting , inane images keep popping past your head and the same illogical things cherish happening over and over again
",positive
602," a passable romantic comedy , in need of another couple of passes through the word processor
",negative," a passable romantic comedy , in can of another articulate of passes through the word processor
",positive
603," flat , misguided comedy
",negative," smooth , misguided comedy
",positive
604," so clich d that , at one point , they literally upset an apple cart
",negative," so clich d that , at one point , they strikingly enrage an apple cart
",positive
605," the film 's plot may be shallow , but you 've never seen the deep like you see it in these harrowing surf shots
",positive," the film 's plot may be shallow , but you 've never seen the deep like you see it in these pathetic surf shots
",negative
606," a masterpiece four years in the making
",positive," a masterpiece four interim in the making
",negative
607," cho continues her exploration of the outer limits of raunch with considerable brio
",positive," cho continues her exploration of the outer limits of raunch with incalculable brio
",negative
608," glib , satirical documentary that fudges facts , makes facile points and engages in the cinematic equivalent of tabloid journalism
",negative," slick , satirical documentary that fudges facts , makes smoothness points and engages in the cinematic equivalent of tabloid journalism
",positive
609," it smacks of purely commercial motivation , with no great love for the original
",negative," it flavor of purely commercial motivation , with no heavy love for the original
",positive
610," life is a crock or something like it
",negative," aliveness is a sack or something like it
",positive
611," wallace seems less like he 's been burning to tell a war story than he 's been itching to somehow tack one together
",negative," wallace seems further like he 's been inside to tell a war story than he 's been itching to somehow bolt one unitedly 
",positive
612," press the delete key
",negative," press the clear key
",positive
613," a little more intensity and a little less charm would have saved this film a world of hurt
",negative," a little more intensity and a little such charm would have saved this operetta a humankind of fumble 
",positive
